,Path1LightSoldierCount,Path1MediumSoldierCount,Path1HeavySoldierCount,Path1BatteringRamCount,Path1CatapultCount,Path1ArcherCount,Path2LightSoldierCount,Path2MediumSoldierCount,Path2HeavySoldierCount,Path2BatteringRamCount,Path2CatapultCount,Path2ArcherCount,Path3LightSoldierCount,Path3MediumSoldierCount,Path3HeavySoldierCount,Path3BatteringRamCount,Path3CatapultCount,Path3ArcherCount,Path4LightSoldierCount,Path4MediumSoldierCount,Path4HeavySoldierCount,Path4BatteringRamCount,Path4CatapultCount,Path4ArcherCount,HeavyArrowCountIncrease,LightArrowCountIncrease,Seconds Between Next Wave
Wave1,2,,,,,,2,,,,,,2,,,,,,,,,,,,,2,1
Wave2,1,,,,,2,1,,,,,2,,,,,,,,,,,,,2,1,2
Wave3,,,2,,,,,,2,,,,,,,,,,,,,,,,,,
Wave4,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Wave5,2,,,,1,,2,,,1,,,,,,,,,,,,,,,,,
Wave6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,,,,,,,,
